id,name_kr,name_en
19261105,민병기,Min Byeong-gi
19141111,정운갑,Jeong Un-gab
1911115,이상돈,Lee Sang-don
19291102,이준구,Lee Jun-gu
19611124,윤소하,Yoon So-ha
19431138,정일용,Jeong Il-yong
1943114,김연관,Kim Yeon-gwan
1903188,정희섭,Jeong Hyi-seob
1918155,유봉순,Yu Bong-sun
1945199,문종안,Mun Jong-an
19471122,이상선,Lee Sang-seon
19271113,최일휴,Choi Il-hyu
19201158,장성환,Jang Seong-hwan
19341155,정희섭,Jeong Hyi-seob
19191176,차만석,Ca Man-seog
19191118,유청,Yu Ceong
1925112,이진오,Lee Jin-o
19551136,박형기,Park Hyeong-gi
19391187,유인학,Yu In-hag
19091154,신기석,Shin Gi-seog
19461134,명욱재,Myeong Ug-jae
1936174,정정문,Jeong Jeong-mun
19551139,윤재갑,Yoon Jae-gab
19161155,김상진,Kim Sang-jin
19341122,김상진,Kim Sang-jin
1932189,김상진,Kim Sang-jin
1953132,김홍철,Kim Hong-ceol
1909199,김응주,Kim Eung-ju
19281158,김낙진,Kim Nag-jin
19201129,김자일,Kim Ja-il
19301106,김자일,Kim Ja-il
19651102,유성찬,Yu Seong-can
19241159,이강룡,Lee Gang-ryong
19291103,양찬우,Yang Can-u
19341156,심재갑,Sim Jae-gab
19421185,한종수,Han Jong-su
19561129,최기복,Choi Gi-bog
1906164,김형일,Kim Hyeong-il
1905121,김형일,Kim Hyeong-il
19631117,신수식,Shin Su-sig
1905149,김진구,Kim Jin-gu
1895135,김진구,Kim Jin-gu
19471123,박명재,Park Myeong-jae
19201133,이진용,Lee Jin-yong
1935150,박완일,Park Wan-il
19351165,서성태,Seo Seong-tae
188413,남경우,Nam Gyeong-u
19601155,이철우,Lee Ceol-u
19241161,김재춘,Kim Jae-cun
19381169,양건주,Yang Geon-ju
19391211,이교성,Lee Gyo-seong
1929170,박찬정,Park Can-jeong
193913,양건주,Yang Geon-ju
19561130,안장환,Ahn Jang-hwan
19561131,구민회,Gu Min-hoe
1931188,홍종남,Hong Jong-nam
1908147,양덕인,Yang Deog-in
1930179,홍종남,Hong Jong-nam
1904154,홍창섭,Hong Cang-seob
19291104,황석명,Hwang Seog-myeong
198322,이지애,Lee Ji-ae
195619,안병해,Ahn Byeong-hae
1969142,박대식,Park Dae-sig
19101136,양덕인,Yang Deog-in
1925150,김명윤,Kim Myeong-yun
19581131,김연호,Kim Yeon-ho
19521143,김대호,Kim Dae-ho
19311101,황재호,Hwang Jae-ho
19301107,황재호,Hwang Jae-ho
19151217,조건묵,Cho Geon-mug
193914,함영주,Ham Yeong-ju
198011,김현수,Kim Hyeon-su
1929113,김현수,Kim Hyeon-su
1920178,오범수,Oh Beom-su
19181158,육인수,Yug In-su
1916199,김선우,Kim Seon-u
19191178,육인수,Yug In-su
1914131,김선우,Kim Seon-u
192015,이원형,Lee Weon-hyeong
19601164,허성우,Heo Seong-u
19391212,오성섭,Oh Seong-seob
19311107,정달선,Jeong Dal-seon
19351166,최경수,Choi Gyeong-su
19151219,오수득,Oh Su-deug
19381125,신준희,Shin Jun-hyi
19341157,신준희,Shin Jun-hyi
1929161,강길만,Kang Gil-man
1924146,박완교,Park Wan-gyo
192315,박완교,Park Wan-gyo
19041145,박희정,Park Hyi-jeong
19321121,박희정,Park Hyi-jeong
19261108,차의영,Ca Yi-yeong
1923183,이옥동,Lee Og-dong
19271115,유범수,Yu Beom-su
19191179,채기묵,Cae Gi-mug
19251152,김현모,Kim Hyeon-mo
1929122,양해준,Yang Hae-jun
1927162,양해준,Yang Hae-jun
19211167,양해준,Yang Hae-jun
1924156,안균섭,Ahn Gyun-seob
197711,이현재,Lee Hyeon-jae
19341118,송정덕,Song Jeong-deog
19231163,안균섭,Ahn Gyun-seob
19271116,정영환,Jeong Yeong-hwan
19211102,김상흠,Kim Sang-heum
1948158,김정기,Kim Jeong-gi
19231197,김정기,Kim Jeong-gi
1960166,김정기,Kim Jeong-gi
1955185,김정기,Kim Jeong-gi
1894160,김정기,Kim Jeong-gi
1893156,김정기,Kim Jeong-gi
1909140,문광일,Mun Gwang-il
1914180,박철,Park Ceol
19251121,김록영,Kim Rog-yeong
19241162,김록영,Kim Rog-yeong
19341121,이기홍,Lee Gi-hong
19151120,이기홍,Lee Gi-hong
19071104,강기천,Kang Gi-ceon
19261109,박종기,Park Jong-gi
1898111,신형식,Shin Hyeong-sig
1902171,신형식,Shin Hyeong-sig
19271117,강기천,Kang Gi-ceon
1927164,신형식,Shin Hyeong-sig
